Extension,Load
0,0.041808365
0.00477,1.29503959
0.00574,2.705307113
0.00659,4.130870379
0.00724,5.571729388
0.00782,6.99015464
0.00836,8.428974216
0.009,9.895326131
0.00949,11.264805
0.00991,12.73931465
0.0104,14.21484401
0.01088,15.64652557
0.01147,17.10268032
0.012,18.65366868
0.01238,19.94258998
0.01286,21.49255862
0.01334,22.84572204
0.01404,24.28862048
0.01907,25.47658987
0.02266,26.80629981
0.02673,28.0891028
0.03166,27.28658614
0.03681,27.18767367
0.04157,26.93070518
0.04672,26.64722408
0.05159,26.33926978
0.05679,26.25769248
0.06161,26.20262781
0.06686,26.14246455
0.07152,26.09861675
0.07677,25.98542826
0.08159,25.65911907
0.08668,25.65605992
0.09166,25.64178389
0.0967,25.51329965
0.10168,25.53777284
0.10677,25.66625708
0.11165,25.70704573
0.11663,25.59385723
0.12172,25.52247709
0.12659,25.49902362
0.13173,25.2838635
0.13661,25.30935641
0.1417,25.26041003
0.14663,25.14212295
0.15161,25.10337373
0.15659,25.04524991
0.16168,25.05544707
0.16661,24.97386977
0.17175,25.11153146
0.17652,25.13804408
0.18172,25.12274834
0.18665,25.13702437
0.19173,25.09929487
0.19661,25.39297314
0.2017,25.20636507
0.20668,25.17577358
0.21177,25.03607246
0.21665,25.05238792
0.22174,25.18495103
0.22672,25.14008351
0.2317,25.01873729
0.23674,25.07482168
0.24177,25.15333983
0.2467,24.99324438
0.25179,25.03811189
0.25666,25.04728934
0.26181,25.15333983
0.26668,25.10643288
0.27182,25.10541316
0.2767,25.19310876
0.28184,25.16965528
0.28661,25.02179643
0.29181,24.9759092
0.29663,24.86985872
0.30172,24.83620808
0.3067,24.7301576
0.31179,24.82703064
0.31666,24.99834296
0.32181,25.18495103
0.32668,25.33688874
0.33166,25.48066873
0.33665,25.43172235
0.34163,25.33179016
0.34672,25.1645567
0.3517,25.18087216
0.35668,25.30527754
0.36172,25.32873101
0.36659,25.40011115
0.37163,25.52247709
0.37666,25.2838635
0.38159,25.30323811
0.38674,25.17883273
0.39156,25.24511428
0.3967,25.38685484
0.40163,25.48882646
0.40672,25.53675312
0.41159,25.42050547
0.41673,25.50106305
0.42161,25.36951966
0.42675,25.39909143
0.43163,25.54083199
0.43672,25.38583512
0.44165,25.45721526
0.44668,25.4031703
0.45166,25.2961001
0.45675,25.21248337
0.46168,25.28182407
0.46672,25.28896208
0.47165,25.37869711
0.47679,25.55306858
0.48172,25.56428546
0.48681,25.50820107
0.49173,25.27264662
0.49677,25.21962138
0.5017,25.4031703
0.50684,25.67135566
0.51172,25.7998399
0.51675,25.88651578
0.52173,25.67747396
0.52677,25.77842586
0.53175,25.70908516
0.53684,25.86204259
0.54172,25.82431309
0.54675,25.98644797
0.55168,26.000724
0.55672,26.2148644
0.5617,26.13226739
0.56679,26.29134312
0.57166,26.18529263
0.57675,26.19243065
0.58163,26.03947321
0.58666,25.91098897
0.59159,26.01296059
0.59663,26.13532654
0.60172,26.16591803
0.60659,26.29848113
0.61168,26.39535417
0.61666,26.28114596
0.62165,26.27502766
0.62657,26.16081944
0.63172,26.18835178
0.63665,26.21690384
0.64174,26.23525873
0.64661,26.35864439
0.6517,26.38923588
0.65668,26.34640779
0.66172,26.28522482
0.66659,26.27910652
0.67174,26.33009234
0.67661,25.97319166
0.6817,26.20364752
0.68657,26.22302213
0.69177,26.18019405
0.69665,26.2648305
0.70174,26.2148644
0.70672,26.13022796
0.71165,26.16591803
0.71668,26.23117986
0.72177,26.3402895
0.72675,26.31275716
0.73168,26.3280529
0.73672,26.29848113
0.74181,26.17509547
0.74673,26.14450398
0.75182,26.30969801
0.75675,26.38821616
0.76179,26.54321302
0.76672,26.70024932
0.77175,26.88991654
0.77674,26.76449144
0.78188,26.75327456
0.7867,26.68393386
0.79184,26.63294805
0.79666,26.69820989
0.80175,26.80426037
0.80663,26.73389996
0.81172,26.65232266
0.8167,26.38209786
0.82168,26.24749532
0.82666,26.20670667
0.8317,26.35966411
0.83663,26.47591175
0.84161,26.59317912
0.84665,26.69107187
0.85168,26.7746886
0.85666,26.830773
0.86165,27.10609637
0.86668,27.19991026
0.87166,27.19481168
0.8767,27.23458062
0.88163,27.09080063
0.88672,26.78488577
0.89165,26.87666023
0.89673,26.80324066
0.90161,26.76041258
0.90675,26.83587158
0.91163,26.9256066
0.91672,26.99188816
0.9217,26.98576986
0.92663,26.79100406
0.93166,26.65436209
0.93675,26.65334237
0.94168,26.80629981
0.94666,26.77570832
0.95165,27.00922333
0.95673,27.07856404
0.96172,27.17747651
0.9667,26.90521228
0.97168,27.04695283
0.97677,27.05511056
0.9817,27.14994417
0.98673,27.36204514
0.99177,27.35184798
0.99681,27.14892445
1.00173,27.09589921
1.00682,27.31207905
1.0117,27.32839451
1.01679,27.39671549
1.02172,27.41201124
1.02675,27.44056329
1.03168,27.43342528
1.03677,27.4477013
1.0417,27.39467606
1.04679,27.34980855
1.05166,27.22642289
1.0567,27.29984245
1.06163,27.25803409
1.06672,27.24681721
1.07159,27.13668786
1.07668,27.31309876
1.08161,27.43240556
1.08665,27.4660562
1.09163,27.52723917
1.09661,27.58128413
1.10165,27.59454044
1.10668,27.46197733
1.11166,27.37020287
1.11659,27.30698047
1.12168,27.47727307
1.12661,27.51194343
1.1317,27.56394895
1.13674,27.5731264
1.14161,27.64348682
1.14665,27.5353969
1.15173,27.53641662
1.15666,27.60881647
1.1617,27.68835433
1.16663,27.85150893
1.17177,27.93104679
1.17659,27.84029205
1.18168,27.9504214
1.18661,27.8749624
1.19175,27.88515956
1.19657,27.95450026
1.20172,28.10847741
1.2067,28.21962648
1.21174,28.30120377
1.21666,28.30426292
1.2217,28.28590803
1.22668,28.38584022
1.23177,28.31955867
1.23675,28.32975583
1.24179,28.40827398
1.24672,28.32261782
1.25181,28.30630236
1.25674,28.22268563
1.26177,28.31853895
1.26675,28.17781811
1.27179,28.15232521
1.27672,28.25735598
1.28181,28.2777503
1.28663,28.33689384
1.29177,28.38380079
1.29665,28.38176136
1.30168,28.33179526
1.30666,28.36850505
1.31165,28.28182917
1.31663,28.23594194
1.32172,28.12071401
1.32659,28.18087726
