Extension,Load
0,0.090754743
0.00327,1.441878725
0.00391,2.811357599
0.0044,4.317478446
0.00472,5.638010942
0.00509,6.961602586
0.00547,8.248484447
0.006,9.840261455
0.00638,11.12510388
0.00681,12.40382801
0.00734,13.92932347
0.00798,15.41403028
0.00895,16.72232618
0.01388,16.23694126
0.01902,17.28317009
0.02384,17.8746055
0.02898,18.54557877
0.03386,19.63463568
0.03675,20.98270051
0.03756,22.28283869
0.03836,23.58807544
0.03943,24.91778538
0.04431,24.34572458
0.04511,25.79270189
0.0457,27.20092998
0.04623,28.5540934
0.04698,29.9949524
0.0479,31.4225551
0.04891,32.82976348
0.04966,34.12276363
0.05047,35.53201144
0.05159,36.85764252
0.05325,38.13840608
0.05839,37.21760234
0.06332,37.90489107
0.06836,38.08640055
0.0734,38.0578485
0.07838,38.1649187
0.08336,38.02521758
0.08845,38.15982012
0.09338,37.43684133
0.09825,37.67851407
0.10339,37.8375898
0.10827,38.15472154
0.11341,37.87837845
0.11834,37.48884685
0.12343,37.63262684
0.12836,38.15370182
0.13334,38.14758353
0.13827,38.42698577
0.14336,38.12413005
0.14829,38.53303626
0.15343,38.48307016
0.15825,38.58912065
0.1634,38.79612304
0.16832,38.91237069
0.17341,38.94398189
0.17829,39.13772797
0.18343,39.23562073
0.18836,38.94398189
0.19345,39.35492752
0.19832,39.24071931
0.20347,39.11325478
0.2084,39.09591961
0.21338,39.34676979
0.21841,38.87770034
0.22345,39.18463492
0.22838,39.34778951
0.23352,39.62617204
0.23834,39.43242596
0.24348,39.7872872
0.24831,39.55377219
0.2535,40.05955143
0.25838,39.96471782
0.26352,39.96777697
0.26829,39.97287555
0.27354,39.53949616
0.27836,39.88008137
0.2834,39.96879668
0.28838,39.91373201
0.29347,40.04425568
0.29834,40.13195128
0.30348,40.02182193
0.30836,40.23902148
0.3134,40.31142133
0.31832,40.42970841
0.32336,40.38891976
0.32839,40.33385509
0.33338,40.04221625
0.33836,40.08198518
0.34339,40.39299863
0.34832,40.27879041
0.35331,40.31040162
0.35834,40.26043552
0.36332,40.1900751
0.36841,40.28286928
0.37323,40.41849153
0.37838,40.14724702
0.38331,40.37668317
0.38839,40.70911065
0.39327,40.48987167
0.39841,40.55207436
0.40329,40.21352857
0.40843,40.30734247
0.41331,40.77131334
0.41839,40.57042925
0.42338,40.85696951
0.42836,40.83555546
0.43334,40.78049079
0.43843,40.85900894
0.44336,40.9823946
0.44845,41.13841118
0.45332,41.13025345
0.45847,41.36274875
0.46339,41.03949871
0.46848,41.14758863
0.47341,41.34847272
0.47845,41.4035374
0.48332,41.49429214
0.48852,41.34235442
0.49345,41.14758863
0.49843,41.54935681
0.50341,41.5361005
0.5085,41.18735756
0.51343,41.28015173
0.51852,41.60646092
0.5234,41.20979132
0.52848,41.62073695
0.53341,41.22406734
0.5384,41.23324479
0.54338,41.25159968
0.54847,41.4728781
0.55334,41.61563837
0.55848,41.72168885
0.56325,41.55343568
0.5684,41.68497907
0.57332,41.79816757
0.57831,41.40965569
0.5834,41.83997593
0.58832,41.93073068
0.59341,41.90013919
0.59834,41.79816757
0.60338,41.93786869
0.60825,41.85731111
0.6134,41.89708004
0.61832,41.88280402
0.62341,41.9195138
0.62834,41.91543493
0.63338,42.03372202
0.63836,42.10510215
0.64339,42.15404853
0.64832,41.7747141
0.65341,42.19177803
0.65829,41.97049961
0.66343,42.11529931
0.66831,41.79408871
0.67345,42.33555801
0.67832,42.02454457
0.68341,42.48341687
0.6884,42.5925265
0.69332,42.50279147
0.69836,42.64249259
0.70345,42.62515742
0.70843,42.60680253
0.71341,42.34779461
0.71839,42.6363743
0.72348,42.73426705
0.72841,42.83827811
0.7335,42.83215981
0.73843,42.73630649
0.74352,42.27233561
0.7484,42.65778834
0.75343,42.75160223
0.75841,43.32774189
0.7635,43.45520642
0.76838,43.36037281
0.77352,43.35731366
0.77834,43.47764017
0.78348,43.5551386
0.78836,42.85867243
0.79339,43.57043435
0.79838,43.43073323
0.80336,43.31958416
0.8084,43.309387
0.81338,43.31448558
0.81831,43.17886332
0.82329,43.63569619
0.82832,43.74582554
0.83336,43.59184839
0.83834,43.16560701
0.84332,42.856633
0.84836,43.75398327
0.85334,43.87940836
0.85838,43.6051047
0.86331,43.42971351
0.86845,44.63399836
0.87332,44.43719313
0.87841,44.37499044
0.88329,44.05989813
0.88843,44.67070814
0.89331,44.80938955
0.89839,44.96744556
0.90338,45.00007648
0.90831,44.82570501
0.91334,44.99599761
0.91843,44.87465138
0.92336,44.91849918
0.92839,45.3284251
0.93332,45.21931546
0.93847,45.22645348
0.94339,45.16832965
0.94843,45.21625632
0.95336,45.19178313
0.9585,45.62822167
